soc,weight,temperature,battery_health,distance
56.21,4733.64,-26.56,92.76,-34.54
4.5,4278.51,58.45,89.13,-142.29
22.1,4941.37,-34.78,99.82,-184.99
7.14,4065.26,6.54,91.4,-113.12
60.17,3767.74,32.65,92.67,100.47
60.39,4958.8,5.94,90.91,-37.07
21.14,3272.47,-1.89,81.4,7.29
54.62,4228.88,31.81,87.59,15.88
50.13,3071.83,-21.74,83.89,128.64
51.64,4889.15,-6.65,95.28,-76.05
52.28,4345.07,-18.45,88.32,-9.49
14.47,4952.23,9.27,94.54,-203.03
0,4693.72,-18.04,84.79,-197.46
8.74,4750.67,-12.38,83.39,-190.28
79.27,3157.14,3.61,97.61,314.89
37.34,3657.25,23.58,82.08,8.84
31.87,4090.04,44.78,85.38,-59.31
22.82,3117.68,-15.62,91.62,29.37
42.54,4054.51,-28.38,99.3,-18.38
73.0,3427.6,51.34,82.48,229.03
66.75,3895.65,-33.99,83.81,127.78
16.24,4077.47,-32.39,96.82,-97.42
47.81,4174.76,-16.05,91.38,-10.49
58.92,3336.48,-12.89,87.87,143.45
18.28,3835.77,40.09,92.34,-64.87
60.95,3609.14,-36.12,99.46,123.63
41.89,4646.94,-38.93,87.71,-89.96
6.99,4377.43,43.07,95.61,-149.76
39.94,3720.08,-37.03,95.86,10.77
95.51,4657.64,2.46,97.28,324.71
50.7,4946.67,-31.81,93.55,-87.25
99.05,4755.75,11.62,98.49,363.89
87.86,3085.77,8.21,93.6,412.07
3.64,3192.05,2.3,82.83,-16.98
34.32,4822.1,27.79,85.23,-137.01
38.96,3546.02,-0.92,84.43,27.5
9.81,4085.13,27.39,89.35,-110.79
66.53,4477.89,16.99,94.7,58.38
10.26,4997.85,-22.44,95.44,-216.38
88.97,4573.92,48.08,89.11,251.43
44.97,3265.28,29.47,89.28,83.39
83.61,3214.29,-13.85,85.58,350.86
18.52,3004.74,-39.22,82.7,32.54
78.47,3194.38,35.76,95.15,303.16
7.49,3377.7,6.12,98.04,-32.37
0,3815.51,-22.44,80.6,-95.07
61.05,4266.66,-19.98,95.18,47.58
13.16,3527.11,-5.52,96.96,-39.47
20.24,4085.69,-28.83,84.33,-89.6
86.41,4792.54,40.06,85.66,196.79
20.49,3993.81,-36.5,99.72,-78.32
5.43,3939.67,30.76,83.32,-101.3
26.96,4567.02,49.06,89.87,-128.96
54.64,4242.28,36.18,83.62,14.42
67.01,3424.84,-25.01,90.86,184.47
67.21,3151.87,34.48,95.77,217.7
49.62,3279.64,45.64,95.21,102.04
10.04,4124.37,26.32,81.95,-114.95
35.69,4690.11,32.87,96.89,-117.15
53.6,3622.92,-11.27,84.43,81.29
26.26,3929.0,-4.69,94.72,-56.46
53.01,4000.82,48.66,93.79,34.26
34.7,3945.94,37.57,97.88,-33.64
18.13,3026.96,-12.25,98.07,29.09
8.77,4444.77,13.98,82.15,-154.56
31.48,4409.59,13.52,97.25,-97.74
0,3950.66,-23.88,89.35,-110.83
7.03,4508.86,-3.94,96.95,-165.02
91.31,4040.05,-20.49,95.45,341.92
28.12,3375.16,-35.68,93.99,13.16
21.56,4465.14,0.02,96.7,-130.76
53.07,3342.39,-24.51,81.06,111.32
64.67,4500.49,-12.54,81.44,43.2
95.04,4993.68,36.66,98.54,279.13
5.56,4802.54,-38.87,96.08,-201.68
51.54,3401.29,12.09,96.59,96.93
2.01,4391.19,-8.37,83.95,-159.26
49.0,3272.67,51.01,84.82,100.01
61.6,3964.05,-22.37,80.49,86.21
53.14,3250.48,-28.66,94.05,122.39
16.58,4554.06,48.81,81.02,-152.27
57.35,3832.71,-33.16,97.74,76.73
74.87,3750.78,3.66,94.06,206.72
62.14,4069.0,23.39,97.07,77.31
74.83,3625.67,41.45,90.86,220.97
56.96,4911.65,9.36,95.95,-51.21
12.79,4076.96,54.68,83.76,-104.29
3.22,3018.84,29.97,92.46,2.57
14.2,4595.66,47.86,95.0,-162.0
22.61,3079.74,13.79,98.42,33.28
83.31,3492.47,26.16,87.33,315.34
48.56,3611.71,33.47,82.44,58.5
30.44,3846.13,-11.55,98.94,-35.14
72.19,4909.53,-9.76,80.4,49.82
0,4739.55,-24.78,93.1,-202.8
29.69,3226.77,16.45,86.31,34.89
65.5,3489.68,-17.08,88.9,166.57
69.88,4048.7,-35.49,87.9,132.45
69.99,4522.64,40.44,85.21,78.02
11.59,4175.09,-37.68,81.7,-118.01
74.87,3429.41,28.06,96.71,244.19
55.32,4239.57,26.0,81.38,18.3
46.03,3997.28,-32.8,83.06,2.49
69.46,4571.53,36.09,86.3,68.38
67.62,3818.71,13.06,98.18,142.84
87.36,4546.14,52.57,87.74,236.13
20.19,4837.72,31.27,81.6,-177.39
40.69,4657.05,30.46,83.42,-95.69
6.38,3137.27,59.64,98.53,-6.2
52.26,4520.53,-12.83,81.04,-30.05
56.09,4730.64,-6.5,90.95,-34.84
76.6,3685.87,-36.34,97.83,229.13
21.14,3500.13,35.42,84.83,-19.25
17.37,3280.57,47.0,81.45,-2.12
19.13,4501.84,21.9,88.9,-140.64
92.52,4963.95,38.61,95.91,249.44
24.32,4519.76,56.69,94.7,-130.36
55.52,4191.72,13.43,87.26,24.94
65.43,4128.95,11.98,95.6,91.58
85.19,4644.75,-18.41,92.78,200.74
10.67,3933.08,-23.87,88.49,-91.5
47.6,4994.93,-36.09,89.28,-107.03
19.63,4958.58,43.17,90.07,-192.76
88.05,4810.63,31.36,87.61,213.16
57.92,3071.94,42.17,91.93,168.6
63.28,3833.79,-14.78,84.37,111.91
71.43,3087.54,-34.8,88.4,256.29
11.58,4999.24,29.08,94.28,-214.11
66.39,3340.17,-39.07,91.98,190.05
13.53,4856.51,43.1,98.69,-193.73
70.56,3372.98,57.32,95.98,216.35
63.6,3897.84,-31.81,82.15,106.49
64.98,4609.99,59.35,89.86,32.49
21.55,3992.15,15.59,91.83,-75.64
64.08,3230.78,28.31,91.03,187.36
82.87,4072.07,19.24,89.55,243.28
22.82,3299.34,5.96,91.83,8.19
81.19,4410.61,-2.27,94.03,187.08
39.07,4875.28,55.67,86.23,-127.07
61.12,3081.56,20.28,88.91,186.16
92.26,3583.0,16.93,91.27,407.12
50.72,3016.58,-38.38,83.8,137.85
6.57,3180.53,7.4,97.78,-10.93
43.18,4339.03,-39.04,80.73,-49.03
2.42,4414.17,41.49,83.18,-161.32
72.33,3678.32,56.96,98.53,194.46
66.93,3386.39,-35.76,86.13,188.4
48.78,3489.04,-28.8,81.19,73.79
70.49,3250.55,14.84,94.36,230.09
26.32,4817.3,21.33,81.76,-159.86
49.88,3412.31,-22.65,97.16,87.78
58.95,3187.9,0.87,80.05,160.94
35.64,3786.93,7.42,90.97,-12.03
25.15,3296.09,37.68,82.87,14.42
0.87,3253.5,2.29,81.62,-28.3
8.31,4444.46,24.77,96.89,-155.33
80.2,4722.26,-8.77,82.45,141.2
63.35,4910.78,23.87,94.84,-13.2
88.59,4838.83,25.09,96.76,216.11
13.24,4354.61,38.84,95.85,-135.79
32.88,3954.19,16.71,83.58,-40.38
50.58,4269.89,19.68,86.15,-8.92
51.62,3090.86,18.1,81.02,133.5
14.32,3873.83,6.95,95.95,-77.61
70.2,4108.65,-16.04,85.3,127.86
75.56,3567.17,-4.31,85.17,233.97
65.55,4070.33,-18.21,84.7,99.22
11.02,4971.83,-21.77,91.48,-211.96
25.34,3755.53,-15.85,80.8,-38.65
9.15,4304.58,29.9,97.18,-137.55
11.01,4957.39,11.36,90.04,-210.29
58.13,3071.63,57.32,82.66,169.82
56.07,3191.96,-24.23,85.77,144.44
0,3031.03,-32.48,81.37,-3.62
61.73,4866.66,4.9,92.49,-18.22
46.52,4636.95,28.42,85.55,-69.99
84.87,4454.83,15.21,95.81,219.46
11.89,3220.78,36.1,82.3,-6.19
81.2,4751.09,36.84,89.82,147.49
27.39,4557.65,-24.71,92.13,-126.71
63.98,3947.83,46.22,81.36,103.12
58.51,3630.71,-33.37,98.09,106.8
53.06,3277.26,-16.04,90.85,118.86
48.26,4495.62,-36.98,95.47,-45.9
29.71,3290.91,56.01,87.26,27.47
84.25,4744.38,56.24,92.13,179.15
77.5,3464.01,57.27,89.08,262.95
84.25,3347.72,10.49,83.64,341.97
52.95,4394.75,-16.89,97.91,-11.96
87.99,4928.57,59.81,97.39,198.72
86.18,4068.14,9.72,94.59,278.71
74.99,3317.88,13.68,80.87,258.2
45.93,3679.69,18.46,92.96,39.09
60.85,4121.76,-36.67,88.85,63.26
14.24,4265.92,-25.98,88.39,-123.48
62.24,4966.01,-17.74,81.89,-26.64
10.1,3179.15,54.47,96.65,-4.65
45.91,4847.67,-15.49,85.08,-97.16
32.53,4515.72,-17.27,93.06,-106.92
10.49,3902.79,53.31,82.76,-88.3
65.46,3944.84,47.18,97.13,113.24
81.84,4761.89,21.57,88.85,152.52
98.54,4763.36,23.53,97.99,355.45
45.28,3707.56,36.11,94.45,33.12
3.29,3271.01,-11.7,89.0,-26.73
16.84,4299.5,24.16,92.42,-122.04
19.2,4176.98,43.93,84.55,-102.61
52.33,3406.46,56.2,98.33,100.18
88.22,4142.81,56.81,91.21,292.97
68.41,4705.21,55.9,84.98,45.13
2.73,3631.17,56.97,93.38,-69.57
52.62,4364.1,-16.57,83.07,-10.03
57.48,3917.13,56.26,85.33,67.61
46.54,4441.66,36.28,91.04,-47.14
3.13,4126.47,39.81,80.76,-126.7
97.44,4906.27,27.23,96.34,322.8
25.57,3201.99,44.13,84.57,26.48
58.8,3639.88,-10.19,93.51,107.39
40.33,4500.86,-33.9,96.08,-78.82
88.76,3257.66,27.7,91.1,402.43
31.07,4690.41,-24.91,88.28,-131.71
64.98,3145.62,-12.54,81.13,203.21
1.8,4198.67,-27.07,99.95,-137.13
0,3827.7,-39.72,80.47,-96.49
3.37,3773.85,-35.88,97.71,-85.22
23.01,3493.7,28.86,81.26,-14.01
3.08,4044.14,-28.37,99.1,-117.18
80.78,4169.33,15.29,82.69,211.23
77.13,3482.55,4.82,91.62,257.5
30.89,3996.63,-18.4,96.69,-51.36
76.04,3504.56,53.49,83.02,245.39
78.63,3452.3,59.02,91.77,274.56
0,4392.38,-27.71,87.35,-162.33
31.35,3928.45,4.54,88.04,-42.04
11.21,4213.17,-19.52,92.52,-123.16
47.64,3372.43,2.71,97.27,82.29
18.97,3909.15,48.55,84.5,-71.9
54.33,3141.02,-24.01,83.17,141.2
89.12,4781.57,36.05,93.85,228.99
56.61,3564.76,-0.96,83.34,103.9
53.34,4229.84,32.0,89.83,9.22
19.31,3975.92,21.71,85.0,-78.92
67.94,3326.56,57.31,99.59,202.49
77.99,4472.22,54.44,83.62,149.82
15.07,3499.54,-19.86,89.95,-32.46
64.6,3902.31,53.07,87.27,112.48
19.5,3403.33,25.53,92.6,-11.74
50.94,3625.06,45.74,82.69,67.96
35.21,4960.22,-38.61,93.22,-150.23
32.06,3266.95,-24.91,96.22,37.22
8.75,3672.98,50.28,91.37,-64.62
4.73,3639.79,-20.96,89.12,-67.46
66.02,3201.59,27.49,88.13,203.68
44.42,3045.77,59.43,96.19,106.72
56.2,3877.25,7.24,97.22,65.24
73.56,3135.39,51.93,88.34,267.63
22.05,4986.45,22.43,84.83,-190.36
66.13,3494.11,-1.76,87.78,170.33
49.58,4100.35,-27.65,98.51,6.18
4.66,3031.52,54.98,83.45,3.34
73.99,3774.33,47.27,81.76,196.66
55.84,4168.74,-35.63,84.37,29.33
66.74,3267.11,6.69,81.63,200.99
49.15,3484.03,-34.76,95.65,76.06
3.86,3565.44,-19.48,96.94,-60.17
22.72,4671.59,-32.37,93.87,-152.03
2.39,4716.53,44.08,80.18,-196.62
42.11,3668.62,1.6,94.95,24.94
54.6,3615.17,1.87,92.79,87.33
22.81,4790.23,17.27,90.04,-165.65
36.97,3789.42,-28.02,80.5,-7.84
5.86,3349.0,-22.33,96.79,-31.74
40.77,3351.58,33.37,88.2,56.8
14.99,4209.57,58.05,82.6,-115.4
61.38,3600.92,8.85,83.62,127.2
78.3,3033.1,19.26,93.34,320.41
5.29,3955.09,39.45,86.62,-103.33
3.85,4770.31,-14.98,85.95,-200.65
80.19,4809.97,13.42,80.07,130.88
13.62,3525.87,-33.99,80.62,-38.43
49.32,3480.57,-2.44,88.68,77.24
80.06,3015.27,9.4,88.85,338.87
39.02,4055.82,46.89,84.34,-31.71
3.2,4296.29,51.22,82.73,-146.39
39.81,3396.38,48.36,88.65,48.03
20.7,3794.56,-8.92,83.89,-54.6
26.01,3043.66,32.22,90.15,46.1
59.82,3899.76,3.65,98.88,83.02
70.67,3346.81,20.03,94.52,220.23
58.47,3923.92,45.45,88.17,72.39
62.78,4216.2,-5.5,94.34,64.15
51.23,4168.96,-27.56,98.33,5.94
61.3,3999.11,53.94,81.05,80.29
1.08,3122.42,-39.43,99.0,-12.72
5.47,3010.88,4.04,93.21,7.04
25.03,4045.53,-22.89,89.19,-73.26
0,4666.48,-37.9,95.84,-194.28
80.69,3145.92,-26.59,89.09,329.67
28.54,4476.97,-5.35,97.88,-114.12
49.99,3959.81,-3.82,82.77,24.46
69.79,4573.19,-15.06,86.97,70.64
85.32,4116.56,-7.52,91.29,263.71
81.57,3137.69,53.61,97.85,339.21
17.2,3075.2,31.97,87.4,21.45
15.34,3297.19,-18.25,89.52,-8.32
36.01,3492.75,0.1,98.34,23.5
59.52,4031.23,-11.49,96.73,65.93
51.74,3364.8,-15.99,81.94,102.15
16.75,3088.58,5.31,97.96,18.94
42.08,4296.76,29.06,87.63,-48.41
57.69,4763.72,14.19,96.75,-29.92
22.89,4301.34,18.01,86.97,-108.46
54.96,3079.05,-33.63,99.04,151.71
63.19,4719.94,47.47,87.4,8.03
52.82,3290.03,-0.48,88.39,116.18
10.83,3850.54,53.33,82.42,-81.59
74.47,4997.92,53.95,92.17,57.98
49.48,3484.46,40.91,83.57,77.52
22.64,3886.91,-34.27,89.3,-60.75
50.01,3646.08,27.86,86.04,61.13
19.8,3563.33,18.15,90.8,-29.71
58.27,4028.76,34.53,91.31,59.03
93.33,4191.69,18.64,96.57,349.91
8.94,3665.1,19.06,91.44,-63.37
37.89,3190.92,-12.74,82.57,65.11
15.76,4540.02,-19.38,89.17,-152.34
32.02,4160.91,12.42,97.7,-67.12
86.09,4763.94,-16.53,97.79,196.61
58.38,4233.56,27.46,86.11,35.78
0,4834.59,-36.37,90.75,-213.88
72.02,3112.39,-17.96,91.53,257.99
62.28,4641.31,24.77,91.5,11.46
54.66,3895.23,4.56,88.45,54.99
66.52,4873.1,14.64,87.76,12.24
87.96,4810.85,1.73,99.81,212.1
53.92,4274.99,3.76,83.45,6.9
52.39,4945.44,-27.0,92.02,-78.94
36.74,4257.31,18.17,94.97,-63.17
68.02,4906.14,27.86,87.0,18.91
57.5,4386.46,1.86,82.66,13.0
8.57,3324.01,-25.65,83.74,-24.25
14.85,4150.77,52.57,91.01,-108.83
41.68,3439.43,-3.43,97.16,50.0
82.25,4460.16,-14.65,88.63,191.78
42.41,3371.5,58.71,88.07,60.74
22.04,4175.82,-31.83,94.86,-95.88
64.89,3148.52,-38.67,84.03,202.27
53.92,4183.17,48.94,98.83,17.6
50.85,4126.21,45.91,93.42,9.11
21.04,3302.5,39.42,83.52,3.56
35.34,3263.89,25.55,83.35,47.96
27.1,4395.2,-26.28,88.81,-108.56
8.45,4534.47,-0.86,82.73,-165.58
84.28,4606.16,-18.68,88.32,195.58
75.87,4171.31,30.58,87.55,166.2
49.21,4639.49,38.74,84.99,-58.38
20.59,3829.91,-39.77,96.1,-58.98
35.76,4356.16,-39.92,80.83,-77.99
85.52,4105.82,28.73,96.29,267.12
88.97,4407.0,54.88,97.98,270.89
27.16,3318.02,-3.74,99.21,17.19
